Transcript stable ID,Transcript stable ID version,CDS Length,Gene name
ENST00000387314,ENST00000387314.1,,MT-TF
ENST00000389680,ENST00000389680.2,,MT-RNR1
ENST00000387342,ENST00000387342.1,,MT-TV
ENST00000387347,ENST00000387347.2,,MT-RNR2
ENST00000386347,ENST00000386347.1,,MT-TL1
ENST00000361390,ENST00000361390.2,956,MT-ND1
ENST00000387365,ENST00000387365.1,,MT-TI
ENST00000387372,ENST00000387372.1,,MT-TQ
ENST00000387377,ENST00000387377.1,,MT-TM
ENST00000361453,ENST00000361453.3,1042,MT-ND2
ENST00000387382,ENST00000387382.1,,MT-TW
ENST00000387392,ENST00000387392.1,,MT-TA
ENST00000387400,ENST00000387400.1,,MT-TN
ENST00000387405,ENST00000387405.1,,MT-TC
ENST00000387409,ENST00000387409.1,,MT-TY
ENST00000361624,ENST00000361624.2,1542,MT-CO1
ENST00000387416,ENST00000387416.2,,MT-TS1
ENST00000387419,ENST00000387419.1,,MT-TD
ENST00000361739,ENST00000361739.1,684,MT-CO2
ENST00000387421,ENST00000387421.1,,MT-TK
ENST00000361851,ENST00000361851.1,207,MT-ATP8
ENST00000361899,ENST00000361899.2,681,MT-ATP6
ENST00000362079,ENST00000362079.2,784,MT-CO3
ENST00000387429,ENST00000387429.1,,MT-TG
ENST00000361227,ENST00000361227.2,346,MT-ND3
ENST00000387439,ENST00000387439.1,,MT-TR
ENST00000361335,ENST00000361335.1,297,MT-ND4L
ENST00000361381,ENST00000361381.2,1378,MT-ND4
ENST00000387441,ENST00000387441.1,,MT-TH
ENST00000387449,ENST00000387449.1,,MT-TS2
ENST00000387456,ENST00000387456.1,,MT-TL2
ENST00000361567,ENST00000361567.2,1812,MT-ND5
ENST00000361681,ENST00000361681.2,525,MT-ND6
ENST00000387459,ENST00000387459.1,,MT-TE
ENST00000361789,ENST00000361789.2,1141,MT-CYB
ENST00000387460,ENST00000387460.2,,MT-TT
ENST00000387461,ENST00000387461.2,,MT-TP
ENST00000616830,ENST00000616830.1,,U6
ENST00000620265,ENST00000620265.1,,5S_rRNA
ENST00000619317,ENST00000619317.1,,
ENST00000619792,ENST00000619792.1,1287,
ENST00000611690,ENST00000611690.1,,5_8S_rRNA
ENST00000611446,ENST00000611446.1,,RNA5-8SN5
ENST00000615362,ENST00000615362.1,,
ENST00000619779,ENST00000619779.1,,5_8S_rRNA
ENST00000620795,ENST00000620795.1,,
ENST00000614535,ENST00000614535.1,,
ENST00000616049,ENST00000616049.4,1755,
ENST00000621424,ENST00000621424.4,1803,
ENST00000612640,ENST00000612640.4,2019,
ENST00000616468,ENST00000616468.1,,U6
ENST00000613204,ENST00000613204.1,663,
ENST00000617983,ENST00000617983.1,1287,
ENST00000611062,ENST00000611062.1,,U2
ENST00000618083,ENST00000618083.1,,U1
ENST00000614351,ENST00000614351.1,,
ENST00000601199,ENST00000601199.2,510,
ENST00000617089,ENST00000617089.1,,
ENST00000612315,ENST00000612315.1,531,
ENST00000619109,ENST00000619109.1,,U1
ENST00000612848,ENST00000612848.1,462,
ENST00000612801,ENST00000612801.1,,
ENST00000621409,ENST00000621409.1,,U2
ENST00000612565,ENST00000612565.1,732,
ENST00000615130,ENST00000615130.1,,
ENST00000616292,ENST00000616292.1,,RNA5-8SN4
ENST00000618998,ENST00000618998.1,,5_8S_rRNA
ENST00000618675,ENST00000618675.1,,
ENST00000616638,ENST00000616638.1,309,
ENST00000613216,ENST00000613216.4,1905,
ENST00000621028,ENST00000621028.1,375,
ENST00000619806,ENST00000619806.1,,
ENST00000618201,ENST00000618201.1,,
ENST00000611746,ENST00000611746.1,288,
ENST00000612925,ENST00000612925.1,,U1
ENST00000620032,ENST00000620032.1,,Y_RNA
ENST00000613230,ENST00000613230.1,375,
ENST00000400754,ENST00000400754.4,390,MAFIP
ENST00000707296,ENST00000707296.1,,RPL23AP45
ENST00000618679,ENST00000618679.1,,Y_RNA
ENST00000612465,ENST00000612465.1,363,
ENST00000612919,ENST00000612919.1,372,
ENST00000618003,ENST00000618003.1,351,
ENST00000619729,ENST00000619729.1,294,
ENST00000618686,ENST00000618686.1,228,
ENST00000632454,ENST00000632454.1,,LINC01784
ENST00000633392,ENST00000633392.1,1437,PRAMEF11
ENST00000632854,ENST00000632854.1,,PRAMEF30P
ENST00000634171,ENST00000634171.3,882,HNRNPCL1
ENST00000632257,ENST00000632257.1,1425,PRAMEF2
ENST00000632563,ENST00000632563.2,1437,PRAMEF4
ENST00000632873,ENST00000632873.1,1425,PRAMEF10
ENST00000355096,ENST00000355096.4,1425,PRAMEF7
ENST00000631612,ENST00000631612.1,,RNU6-1072P
ENST00000633303,ENST00000633303.1,,PRAMEF29P
ENST00000632295,ENST00000632295.1,1431,PRAMEF6
ENST00000634044,ENST00000634044.1,,PRAMEF28P
ENST00000631964,ENST00000631964.1,1437,PRAMEF27
ENST00000633863,ENST00000633863.1,882,HNRNPCL3
ENST00000632559,ENST00000632559.1,1437,PRAMEF25
ENST00000632653,ENST00000632653.1,,PRAMEF34P
ENST00000633746,ENST00000633746.1,,PRAMEF35P
ENST00000633810,ENST00000633810.2,882,HNRNPCL2
ENST00000634066,ENST00000634066.1,,
ENST00000633532,ENST00000633532.1,1437,PRAMEF26
ENST00000633805,ENST00000633805.3,882,HNRNPCL4
ENST00000633914,ENST00000633914.1,1437,PRAMEF9
ENST00000632392,ENST00000632392.3,1425,PRAMEF13
ENST00000632307,ENST00000632307.2,1440,PRAMEF18
ENST00000632532,ENST00000632532.1,,PRAMEF31P
ENST00000633074,ENST00000633074.1,1431,PRAMEF5
ENST00000631567,ENST00000631567.1,,PRAMEF32P
ENST00000632886,ENST00000632886.1,,RNU6-771P
ENST00000632222,ENST00000632222.1,1425,PRAMEF8
ENST00000632108,ENST00000632108.2,1425,PRAMEF33
ENST00000632119,ENST00000632119.1,,PRAMEF36P
ENST00000633830,ENST00000633830.1,,
ENST00000575017,ENST00000575017.3,984,OR9G4
ENST00000631283,ENST00000631283.1,936,OR5G3
ENST00000572137,ENST00000572137.2,,OR9G3P
ENST00000627632,ENST00000627632.1,,OR5G1P
ENST00000627954,ENST00000627954.1,,OR5G4P
ENST00000625734,ENST00000625734.1,,OR9G2P
ENST00000573911,ENST00000573911.1,918,OR9G1
ENST00000625745,ENST00000625745.1,,
ENST00000571130,ENST00000571130.1,918,OR9G9
ENST00000631340,ENST00000631340.1,,LINC02735
ENST00000630430,ENST00000630430.1,,OR5G5P
ENST00000625370,ENST00000625370.1,,
ENST00000672946,ENST00000672946.1,1692,GRK1
ENST00000672977,ENST00000672977.1,,LINC00552
ENST00000707519,ENST00000707519.1,825,TOLLIP
ENST00000707532,ENST00000707532.1,,TOLLIP-DT
ENST00000707548,ENST00000707548.1,,
ENST00000707549,ENST00000707549.1,,LINC02689
ENST00000707541,ENST00000707541.1,2301,BRSK2
ENST00000707568,ENST00000707568.1,,
ENST00000707551,ENST00000707551.1,1878,DUSP8
ENST00000707554,ENST00000707554.1,,KRTAP5-AS1
ENST00000707558,ENST00000707558.1,837,KRTAP5-1
ENST00000707559,ENST00000707559.1,534,KRTAP5-2
ENST00000707560,ENST00000707560.1,717,KRTAP5-3
ENST00000707567,ENST00000707567.1,687,KRTAP5-4
ENST00000707575,ENST00000707575.1,714,KRTAP5-5
ENST00000707561,ENST00000707561.1,,
ENST00000707562,ENST00000707562.1,,FAM99A
ENST00000707565,ENST00000707565.1,,FAM99B
ENST00000707566,ENST00000707566.1,,LINC02708
ENST00000707570,ENST00000707570.1,807,MOB2
ENST00000431340,ENST00000431340.1,,TSPY24P
ENST00000415010,ENST00000415010.1,,ZNF92P1Y
ENST00000449381,ENST00000449381.1,,RBMY3AP
ENST00000436888,ENST00000436888.1,,SERBP1P2
ENST00000421279,ENST00000421279.1,,TSPY12P
ENST00000430032,ENST00000430032.3,,
ENST00000557448,ENST00000557448.1,,DUX4L19
ENST00000413466,ENST00000413466.3,,TTTY12
ENST00000276779,ENST00000276779.8,,TTTY7B
ENST00000427212,ENST00000427212.2,,
ENST00000453312,ENST00000453312.1,,OFD1P3Y
ENST00000457961,ENST00000457961.1,,RBMY2HP
ENST00000621514,ENST00000621514.1,,
ENST00000253838,ENST00000253838.3,,TTTY6
ENST00000604289,ENST00000604289.1,,ELOCP35
ENST00000331172,ENST00000331172.7,,SLC9B1P1
ENST00000427677,ENST00000427677.1,,USP12PY
ENST00000452889,ENST00000452889.1,,TTTY23
ENST00000622542,ENST00000622542.1,,KDM5DP1
ENST00000276770,ENST00000276770.8,,TTTY7
ENST00000650816,ENST00000650816.1,,LINC00279
ENST00000557360,ENST00000557360.1,,DUX4L17
ENST00000303728,ENST00000303728.5,444,PRY
ENST00000441642,ENST00000441642.1,,TSPY18P
ENST00000612840,ENST00000612840.1,,
ENST00000455560,ENST00000455560.1,,PCMTD1P1
ENST00000614118,ENST00000614118.1,,
ENST00000432672,ENST00000432672.1,,HSFY7P
ENST00000604178,ENST00000604178.1,,
ENST00000447526,ENST00000447526.1,,ZNF736P6Y
ENST00000645906,ENST00000645906.1,,TUSC2P1
ENST00000445405,ENST00000445405.1,,RBMY2AP
ENST00000651733,ENST00000651733.1,,TTTY2B
ENST00000430228,ENST00000430228.1,,TTTY21
ENST00000421058,ENST00000421058.1,,PUDPP1
ENST00000707576,ENST00000707576.1,,RBMY3AP
ENST00000421675,ENST00000421675.1,,
ENST00000707577,ENST00000707577.1,,CDY3P
ENST00000618128,ENST00000618128.1,,CDRT15P10
ENST00000707578,ENST00000707578.1,,TSPY25P
ENST00000707579,ENST00000707579.1,,USP9YP22
ENST00000707580,ENST00000707580.1,,TSPY16P
ENST00000707581,ENST00000707581.1,,USP9YP4
